Date,Ticker,Open,High,Low,Close,Volume,YoY_Open,YoY_High,YoY_Low,YoY_Close,YoY_Volume
2024-12-01,AADI.JK,6241.059175654498,10675.49595835638,6241.059175654498,7953.8310546875,786446200.0,,,,,
2025-01-01,AADI.JK,8071.1437251984125,9197.349826388889,7085.713386656746,8868.873046875,451830200.0,,,,,
2025-02-01,AADI.JK,8775.022656976069,8821.947911826208,6241.058895068541,6311.44677734375,345061200.0,,,,,
2025-03-01,AADI.JK,6381.835009578544,6663.386554118774,5631.030890804597,6123.74609375,285887300.0,,,,,
2025-04-01,AADI.JK,6123.745757943192,7109.17610979612,5232.165915790543,6311.44677734375,266494000.0,,,,,
2025-05-01,AADI.JK,6264.521423551038,7508.0406574394465,6241.05879649654,6780.69921875,351169000.0,,,,,
2025-06-01,AADI.JK,6804.162235966435,6991.863263165509,6287.984411168981,6334.90966796875,287363800.0,,,,,
2025-07-01,AADI.JK,6381.8349609375,6827.624903061811,6241.059189740349,6381.8349609375,224046100.0,,,,,
2025-08-01,AADI.JK,6522.610312641531,6968.4002260954485,6334.909296450407,6475.68505859375,279695600.0,,,,,
2025-09-01,AADI.JK,6358.3723128145975,7273.4148227768455,6287.984427432886,6991.86328125,276737900.0,,,,,
2019-06-01,AALI.JK,8548.892967810998,8629.92512864333,8224.764324481672,8427.3447265625,8593900.0,,,,,
2019-07-01,AALI.JK,8508.377878289473,8893.280687069235,7900.636601268797,8082.958984375,18753400.0,,,,,
2019-08-01,AALI.JK,8082.959033203125,9116.119210379464,7698.056222098214,8508.3779296875,30511100.0,,,,,
2019-09-01,AALI.JK,8508.376413863109,9237.665820765662,8366.570140298723,8731.21484375,15292000.0,,,,,
2019-10-01,AALI.JK,8690.698735810996,9419.988140214717,8224.763838553064,9257.923828125,15679100.0,,,,,
2019-11-01,AALI.JK,9257.925686306424,10858.31108940972,8974.313083224826,10210.0537109375,25464000.0,,,,,
2019-12-01,AALI.JK,10230.312047732634,11891.471627760506,10088.505742120498,11810.439453125,19279700.0,,,,,
2020-01-01,AALI.JK,11810.438930921053,11871.213059210526,8710.958388157895,9622.5703125,24197900.0,,,,,
2020-02-01,AALI.JK,9561.795679209183,9906.18238799426,7718.313885124362,7941.15234375,11711200.0,,,,,
2020-03-01,AALI.JK,7941.153772424768,8265.282497829861,3354.7323079427083,4375.73779296875,43878100.0,,,,,
2020-04-01,AALI.JK,4375.736776383197,5753.283539318648,4132.640288806353,4942.9619140625,70047400.0,,,,,
2020-05-01,AALI.JK,4942.962197793497,6016.638412887986,4699.865696262669,5996.38037109375,55741900.0,,,,,
2020-06-01,AALI.JK,5996.380152925532,7292.894780585106,5915.347988696808,6664.8955078125,43079400.0,-0.2985781696526556,-0.15492954204440623,-0.2807881471947713,-0.20913458223618908,4.012788140425186
2020-07-01,AALI.JK,6744.062101069185,8333.297278964641,6723.687291096166,7905.42626953125,57155400.0,-0.20736217907319687,-0.06296702283543187,-0.14896892105930049,-0.021963827255208734,2.0477353439909565
2020-08-01,AALI.JK,7864.6759060196555,8496.29495546683,7355.30570485258,8292.546875,45253100.0,-0.027005348695546716,-0.06799211820386375,-0.044524293842090557,-0.025366886199826744,0.48316842067313215
2020-09-01,AALI.JK,8312.921683046683,9433.53612561425,7660.927825552825,8292.546875,67148800.0,-0.02297203618048227,0.021203441285815305,-0.08434069193385185,-0.050241344028317925,3.3911064608945853
2020-10-01,AALI.JK,8312.922144396553,9290.912984913793,8272.172526041666,8863.0419921875,28602100.0,-0.04346906996761646,-0.01370226303681743,0.005764139666403212,-0.042653390033073446,0.8242182268114879
2020-11-01,AALI.JK,8878.610329773073,10167.440861514326,8612.66117242964,10085.6103515625,72450000.0,-0.04097195952808341,-0.06362593797567762,-0.04029856184438241,-0.01218831584026736,1.8451932139491047
2020-12-01,AALI.JK,10085.6103515625,10228.813743978195,9165.017114604463,10085.6103515625,63161800.0,-0.014144406885634009,-0.13981935422533032,-0.09153869275807414,-0.1460427538203175,2.276077947270964
