ticker_and_date,ticker,report_year,close_year,close_next_year,next_year_return,next_year_return_winsor,next_year_return_scaled
ADMG_2024,ADMG,2024,109.0,220.0,1.018348623853211,1.018348623853211,0.13107629287387906
ADMR_2024,ADMR,2024,1113.1082763671875,1518.2183837890625,0.3639449243374765,0.3639449243374765,0.046845010024088925
ADRO_2021,ADRO,2021,760.5518798828125,1361.35205078125,0.7899529102354071,0.7899529102354071,0.10167843957681295
ADRO_2022,ADRO,2022,1361.35205078125,1081.865234375,-0.2053009111389362,-0.2053009111389362,-0.026425216006969687
ADRO_2023,ADRO,2023,1081.865234375,1974.2447509765625,0.8248527526786601,0.8248527526786601,0.1061705573665292
ADRO_2024,ADRO,2024,1974.2447509765625,1724.7208251953125,-0.1263895601889394,-0.1263895601889394,-0.016268176358741934
AGAR_2024,AGAR,2024,226.0,236.0,0.0442477876106194,0.0442477876106194,0.005695334418900102
AGII_2021,AGII,2021,1482.8404541015625,1906.949951171875,0.2860115502630227,0.2860115502630227,0.036813850237000977
AGII_2022,AGII,2022,1906.949951171875,1497.9468994140625,-0.2144802235142398,-0.2144802235142398,-0.027606727140881276
AGII_2023,AGII,2023,1497.9468994140625,1388.0159912109375,-0.0733877203832296,-0.0733877203832296,-0.009446067982004881
AGII_2024,AGII,2024,1388.0159912109375,1515.0,0.0914859840182955,0.0914859840182955,0.011775577983955371
AIMS_2021,AIMS,2021,402.0,206.0,-0.4875621890547263,-0.4875621890547263,-0.06275635159691526
AIMS_2023,AIMS,2023,860.0,342.0,-0.6023255813953489,-0.6023255813953489,-0.07752807090137188
AIMS_2024,AIMS,2024,342.0,380.0,0.1111111111111111,0.1111111111111111,0.014301617540793612
AISA_2021,AISA,2021,192.0,143.0,-0.2552083333333333,-0.2552083333333333,-0.032849027789010325
AISA_2022,AISA,2022,143.0,144.0,0.0069930069930069,0.0069930069930069,0.0009001018032667189
AISA_2023,AISA,2023,144.0,105.0,-0.2708333333333333,-0.2708333333333333,-0.03486019275568443
AISA_2024,AISA,2024,105.0,134.0,0.2761904761904762,0.2761904761904762,0.0355497350299727
AKKU_2021,AKKU,2021,50.0,50.0,0.0,0.0,0.0
AKKU_2022,AKKU,2022,50.0,50.0,0.0,0.0,0.0
AKKU_2023,AKKU,2023,50.0,14.0,-0.72,-0.72,-0.09267448166434261
AKPI_2021,AKPI,2021,1039.9857177734375,1162.800537109375,0.1180927941961342,0.1180927941961342,0.015200261792250867
AKPI_2022,AKPI,2022,1162.800537109375,716.9602661132812,-0.3834193885947244,-0.3834193885947244,-0.049351657080660055
AKPI_2023,AKPI,2023,716.9602661132812,595.8521728515625,-0.1689188355140777,-0.1689188355140777,-0.021742313228627082
AKPI_2024,AKPI,2024,595.8521728515625,559.9703979492188,-0.0602192566163261,-0.0602192566163261,-0.007751094990458411
AKRA_2021,AKRA,2021,598.1867065429688,1056.6343994140625,0.7663956551634982,0.7663956551634982,0.09864627790566868
AKRA_2022,AKRA,2022,1056.6343994140625,1238.457275390625,0.1720773770732706,0.1720773770732706,0.02214886350892359
AKRA_2023,AKRA,2023,1238.457275390625,1002.4601440429688,-0.1905573458504814,-0.1905573458504814,-0.024527504519480877
AKRA_2024,AKRA,2024,1002.4601440429688,1219.6153564453125,0.2166222903651277,0.2166222903651277,0.027882442328515177
AKSI_2021,AKSI,2021,885.0,290.0,-0.672316384180791,-0.672316384180791,-0.08653690613666644
AKSI_2022,AKSI,2022,290.0,141.0,-0.5137931034482759,-0.5137931034482759,-0.06613265214553185
AKSI_2023,AKSI,2023,141.0,242.0,0.7163120567375887,0.7163120567375887,0.09219978967788223
AKSI_2024,AKSI,2024,242.0,478.0,0.975206611570248,0.975206611570248,0.12552328783737865
ALDO_2021,ALDO,2021,497.12640380859375,400.9739379882813,-0.1934165336696411,-0.1934165336696411,-0.024895523615483136
ALDO_2022,ALDO,2022,400.9739379882813,464.0103454589844,0.15720824098185,0.15720824098185,0.020234989231050014
ALDO_2023,ALDO,2023,464.0103454589844,644.34716796875,0.3886482796657952,0.3886482796657952,0.05002469148300838
ALDO_2024,ALDO,2024,644.34716796875,800.0,0.2415667201920548,0.2415667201920548,0.031093153584936063
ALKA_2021,ALKA,2021,256.0,266.0,0.0390625,0.0390625,0.005027912416685255
ALKA_2022,ALKA,2022,266.0,486.0,0.8270676691729323,0.8270676691729323,0.10645564936380207
ALKA_2023,ALKA,2023,486.0,362.0,-0.2551440329218107,-0.2551440329218107,-0.032840751389970516
ALKA_2024,ALKA,2024,362.0,366.0,0.011049723756906,0.011049723756906,0.0014222603079242168
ALMI_2021,ALMI,2021,300.0,272.0,-0.0933333333333333,-0.0933333333333333,-0.01201335873426663
ALMI_2022,ALMI,2022,272.0,192.0,-0.2941176470588235,-0.2941176470588235,-0.03785722290210074
ALMI_2023,ALMI,2023,192.0,74.0,-0.6145833333333334,-0.6145833333333334,-0.07910582202251468
ALMI_2024,ALMI,2024,74.0,74.0,0.0,0.0,0.0
ALTO_2021,ALTO,2021,280.0,50.0,-0.8214285714285714,-0.8214285714285714,-0.10572981539086707
ALTO_2022,ALTO,2022,50.0,50.0,0.0,0.0,0.0
ALTO_2023,ALTO,2023,50.0,16.0,-0.68,-0.68,-0.08752589934965692
AMAN_2022,AMAN,2022,698.705322265625,118.9285659790039,-0.8297872333455746,-0.8297872333455746,-0.10680569686387505
AMAN_2023,AMAN,2023,118.9285659790039,102.0,-0.1423423030425889,-0.1423423030425889,-0.018321526601917645
AMAN_2024,AMAN,2024,102.0,202.0,0.9803921568627452,0.9803921568627452,0.12619074300700248
AMFG_2021,AMFG,2021,4155.4873046875,5258.09326171875,0.265337342214349,0.265337342214349,0.034152778688762625
AMFG_2022,AMFG,2022,5258.09326171875,5670.69482421875,0.0784698068221654,0.0784698068221654,0.010100206491035102
AMFG_2023,AMFG,2023,5670.69482421875,4194.66650390625,-0.2602905580474174,-0.2602905580474174,-0.033503184096065126
AMFG_2024,AMFG,2024,4194.66650390625,3390.0,-0.1918308650179724,-0.1918308650179724,-0.024691424976059813
AMIN_2021,AMIN,2021,175.67379760742188,97.0828857421875,-0.4473684347671554,-0.4473684347671554,-0.057582830284769994
AMIN_2022,AMIN,2022,97.0828857421875,147.93582153320312,0.5238094789030093,0.5238094789030093,0.06742190548361916
AMIN_2023,AMIN,2023,147.93582153320312,132.0500030517578,-0.1073831768181978,-0.1073831768181978,-0.013821778126523517
AMIN_2024,AMIN,2024,132.0500030517578,250.0,0.8932222205402824,0.8932222205402824,0.11497070319394972
AMRT_2021,AMRT,2021,1129.5196533203125,2489.247314453125,1.2038105376349897,1.2038105376349897,0.15494794110749482
AMRT_2022,AMRT,2022,2489.247314453125,2776.6435546875,0.1154550769486375,0.1154550769486375,0.014860749182960794
AMRT_2023,AMRT,2023,2776.6435546875,2727.9970703125,-0.0175198881011844,-0.0175198881011844,-0.0022550646508257607
AMRT_2024,AMRT,2024,2727.9970703125,1915.390869140625,-0.2978764933493087,-0.2978764933493087,-0.03834104114047109
ANDI_2021,ANDI,2021,50.0,50.0,0.0,0.0,0.0
ANDI_2022,ANDI,2022,50.0,50.0,0.0,0.0,0.0
ANDI_2023,ANDI,2023,50.0,6.0,-0.88,-0.86,-0.11069451976574256
ANDI_2024,ANDI,2024,6.0,27.0,3.5,3.5,0.4505009525349988
ANJT_2021,ANJT,2021,910.1795654296876,639.14404296875,-0.2977824736517613,-0.2977824736517613,-0.03832893943667047
ANJT_2022,ANJT,2022,639.14404296875,745.0,0.165621440418284,0.165621440418284,0.02131789047675871
ANJT_2024,ANJT,2024,715.0,1780.0,1.4895104895104896,1.4895104895104896,0.1917216840958137
ANTM_2021,ANTM,2021,1869.787109375,1675.5294189453125,-0.1038929455956194,-0.1038929455956194,-0.013372534557855243
ANTM_2022,ANTM,2022,1675.5294189453125,1498.4510498046875,-0.1056850253647528,-0.1056850253647528,-0.0136032013130019
ANTM_2023,ANTM,2023,1498.4510498046875,1452.6707763671875,-0.0305517310314989,-0.0305517310314989,-0.003932452551795239
ANTM_2024,ANTM,2024,1452.6707763671875,3150.0,1.1684197488142924,1.1684197488142924,0.15039263137186937
APEX_2021,APEX,2021,850.0,170.0,-0.8,-0.8,-0.10297164629371401
APEX_2022,APEX,2022,170.0,166.0,-0.0235294117647058,-0.0235294117647058,-0.0030285778321680486
APEX_2023,APEX,2023,166.0,120.0,-0.2771084337349397,-0.2771084337349397,-0.035667889529449125
APEX_2024,APEX,2024,120.0,234.0,0.95,0.95,0.12227882997378538
APII_2021,APII,2021,220.0,197.0,-0.1045454545454545,-0.1045454545454545,-0.013456521958837621
